"ResponseId","name","warm","study","competent"
"R_7WnEBh4SKmBX7Wh","tanisha","100","bertrand","58"
"R_7WnEBh4SKmBX7Wh","darnell","86","bertrand","58"
"R_7WnEBh4SKmBX7Wh","hakim","26","bertrand","71"
"R_7WnEBh4SKmBX7Wh","jamal","56","bertrand","69"
"R_7WnEBh4SKmBX7Wh","jermaine","51","bertrand","44"
"R_7WnEBh4SKmBX7Wh","kareem","59","bertrand","2"
"R_7WnEBh4SKmBX7Wh","leroy","67","bertrand","54"
"R_7WnEBh4SKmBX7Wh","rasheed","44","bertrand","88"
"R_7WnEBh4SKmBX7Wh","tremayne","90","bertrand","67"
"R_7WnEBh4SKmBX7Wh","tyrone","52","bertrand","54"
"R_1nZOAz0xWWNBLrj","allison","92","bertrand","97"
"R_1nZOAz0xWWNBLrj","anne","55","bertrand","92"
"R_1nZOAz0xWWNBLrj","carrie","68","bertrand","80"
"R_1nZOAz0xWWNBLrj","emily","96","bertrand","90"
"R_1nZOAz0xWWNBLrj","jill","99","bertrand","89"
"R_1nZOAz0xWWNBLrj","laurie","53","bertrand","94"
"R_1nZOAz0xWWNBLrj","kristen","86","bertrand","88"
"R_1nZOAz0xWWNBLrj","meredith","53","bertrand","79"
"R_1nZOAz0xWWNBLrj","sarah","88","bertrand","94"
"R_1nZOAz0xWWNBLrj","brad","87","bertrand","100"
"R_1nZOAz0xWWNBLrj","brendan","96","bertrand","93"
"R_1nZOAz0xWWNBLrj","geoffrey","47","bertrand","60"
"R_1nZOAz0xWWNBLrj","greg","88","bertrand","75"
"R_1nZOAz0xWWNBLrj","brett","76","bertrand","99"
"R_1nZOAz0xWWNBLrj","jay","76","bertrand","76"
"R_1nZOAz0xWWNBLrj","matthew","89","bertrand","97"
"R_1nZOAz0xWWNBLrj","neil","66","bertrand","73"
"R_1nZOAz0xWWNBLrj","todd","95","bertrand","89"
"R_1nZOAz0xWWNBLrj","aisha","81","bertrand","56"
"R_1nZOAz0xWWNBLrj","ebony","58","bertrand","27"
"R_1nZOAz0xWWNBLrj","keisha","42","bertrand","46"
"R_1nZOAz0xWWNBLrj","kenya","35","bertrand","43"
"R_1nZOAz0xWWNBLrj","lakisha","13","bertrand","22"
"R_1nZOAz0xWWNBLrj","latonya","27","bertrand","22"
"R_1nZOAz0xWWNBLrj","latoya","17","bertrand","17"
"R_1nZOAz0xWWNBLrj","tamika","58","bertrand","35"
"R_1nZOAz0xWWNBLrj","tanisha","26","bertrand","27"
"R_1nZOAz0xWWNBLrj","darnell","51","bertrand","49"
"R_1nZOAz0xWWNBLrj","hakim","5","bertrand","39"
"R_1nZOAz0xWWNBLrj","jamal","48","bertrand","49"
